Time,Motor1,Motor2,Motor3,Motor4
1674475506.6007056,0,0,0,0
1674475507.603008,0,0,0,0
1674475508.6051743,0,0,0,0
1674475509.6072762,0,0,0,0
1674475510.6093256,0,0,0,0
1674475511.6119025,0,0,0,0
1674475512.6140902,0,0,0,0
1674475513.6165307,0,0,0,0
1674475514.6185644,0,0,0,0
1674475515.6204824,36,30,30,31
1674475516.6228418,71,69,65,68
1674475517.6274872,70,73,70,73
1674475518.631476,56,45,47,49
1674475519.6335416,93,92,92,95
1674475520.6355186,114,104,110,105
1674475521.6372964,88,90,99,84
1674475522.6404676,100,106,105,109
1674475523.642512,97,83,109,88
1674475524.6442175,0,0,0,0
1674475525.6460812,0,0,0,0
1674475526.6478562,0,0,0,0
Time,Motor1,Motor2,Motor3,Motor4
1674475643.623841,0,0,0,0
1674475644.6260562,0,0,0,0
1674475645.6282203,0,0,0,0
1674475646.6302192,48,49,55,51
1674475647.632235,57,57,56,57
1674475648.634144,4,5,9,2
1674475649.6360157,0,0,0,0
1674475650.638131,0,0,0,0
1674475651.6401668,0,0,0,0
1674475652.6427674,5,4,5,5
1674475653.6501904,176,153,168,151
1674475654.652252,177,153,165,147
1674475655.6599908,170,151,161,149
1674475656.6660476,174,148,164,154
1674475657.6680608,176,156,167,149
1674475658.6699436,179,150,167,147
1674475659.6716566,174,152,163,149
1674475660.6746953,22,15,17,16
1674475661.6788568,0,0,0,0
1674475662.682829,0,0,0,0
1674475663.6847265,60,60,66,62
1674475664.6861951,76,74,79,74
1674475665.6879835,23,22,20,23
1674475666.6914563,30,33,29,32
1674475667.694161,95,80,91,81
1674475668.6958299,108,100,101,107
1674475669.6976988,54,47,52,47
1674475670.6997018,34,37,35,34
1674475671.7016504,94,91,100,89
1674475672.7034664,109,109,114,107
1674475673.7077134,150,154,147,157
1674475674.7092943,140,142,137,143
1674475675.7111988,49,50,56,48
1674475676.71365,105,98,98,96
1674475677.7276561,107,98,98,102
1674475678.7297282,128,112,121,111
1674475679.7412221,89,89,97,89
1674475680.7434752,124,115,120,113
1674475681.7511268,139,132,136,137
