Time,Motor1,Motor2,Motor3,Motor4
1675000363.8275402,0,115,127,122
1675000364.8300073,0,111,110,104
1675000365.8328254,0,75,77,64
1675000366.8357053,0,25,29,39
1675000367.8380687,0,47,54,56
1675000368.8408701,0,58,63,63
1675000369.842889,0,53,65,69
1675000370.8453257,0,62,67,50
1675000371.8475828,0,14,20,22
1675000372.85305,0,36,37,36
1675000373.855083,0,57,58,54
1675000374.8598871,0,94,81,71
1675000375.861734,0,47,36,24
1675000376.8636456,0,35,31,18
1675000377.8665473,0,5,0,9
1675000378.8700304,0,43,50,42
1675000379.8716803,0,33,27,26
1675000380.8730447,0,146,136,124
1675000381.8748665,0,43,26,40
1675000382.8768327,0,33,28,38
1675000383.878668,0,45,41,53
1675000384.8835213,0,109,92,104
1675000385.8851333,0,108,87,101
1675000386.8944926,0,41,48,56
1675000387.8962975,0,37,32,51
1675000388.9046745,0,12,12,17
1675000389.9065917,0,0,0,0
1675000390.908273,0,23,21,28
1675000391.9100266,0,0,0,0
1675000392.912332,0,0,0,0
1675000393.9157207,0,0,0,0
1675000394.9239337,0,0,0,0
1675000395.925705,0,0,0,0
1675000396.9284434,0,67,64,58
1675000397.9299273,0,129,129,123
1675000398.9322605,0,172,160,135
1675000399.934173,0,132,129,122
1675000400.9361036,0,50,49,49
1675000401.9383206,0,91,80,79
1675000402.943581,0,6,1,3
1675000403.9455192,0,17,19,16
1675000404.9476688,0,62,54,46
1675000405.950075,0,139,134,110
1675000406.9519773,0,95,92,88
1675000407.954036,0,87,73,77
1675000408.9556346,0,63,65,71
1675000409.9575276,0,110,95,88
1675000410.9598165,0,61,68,75
1675000411.9617114,0,64,64,78
1675000412.963584,0,40,43,39
1675000413.9687803,0,53,65,45
1675000414.9709232,0,65,50,43
1675000415.9731345,0,86,83,88
1675000416.975458,0,62,71,69
1675000417.9779892,0,66,61,78
1675000418.9800663,0,31,38,53
1675000419.981964,0,35,42,37
1675000420.9848776,0,41,45,52
1675000421.9865904,0,63,51,46
1675000422.989273,0,62,47,50
1675000423.9927757,0,38,37,41
1675000424.9940343,0,47,49,55
1675000425.996274,0,24,26,36
1675000426.9994435,0,27,36,24
1675000428.0026326,0,53,60,33
1675000429.0045776,0,74,77,84
1675000430.00781,0,71,83,70
1675000431.009453,0,43,44,56
1675000432.0113072,0,85,73,78
1675000433.013506,0,5,0,4
1675000434.0196652,0,0,0,0
1675000435.0213726,0,0,0,0
1675000436.023132,0,0,0,0
1675000437.025031,0,0,0,0
1675000438.0268712,0,0,0,0
1675000439.035517,0,0,0,0
1675000440.0370529,0,0,0,0
1675000441.0405862,0,0,0,0
1675000442.042592,0,0,0,0
1675000443.0447931,0,0,0,0
1675000444.0464442,0,0,0,0
1675000445.0483654,0,0,0,0
1675000446.0508397,0,0,0,0
1675000447.0526555,0,0,0,0
1675000448.0542927,0,0,0,0
1675000449.0566676,0,0,0,0
1675000450.0584652,0,0,0,0
1675000451.0607867,0,0,0,0
1675000452.0626125,0,0,0,0
1675000453.0651474,0,0,0,0
1675000454.0668726,0,0,0,0
1675000455.0692754,0,0,0,0
1675000456.0718415,0,0,0,0
1675000457.0741622,0,0,0,0
1675000458.0768676,0,0,0,0
1675000459.0821335,0,0,0,0
1675000460.0868208,0,0,0,0
1675000461.0937476,0,0,0,0
1675000462.1004748,0,0,0,0
1675000463.1027646,0,0,0,0
1675000464.1045668,0,0,0,0
1675000465.1069114,0,0,0,0
1675000466.1092043,0,0,0,0
1675000467.1113563,0,0,0,0
Time,Motor1,Motor2,Motor3,Motor4
1675000492.3895018,0,0,0,0
1675000493.3917248,0,0,0,1
1675000494.3943563,0,0,0,9
1675000495.3963923,0,0,0,25
1675000496.3988597,0,0,0,0
1675000497.4009,0,0,0,0
1675000498.40298,0,0,0,0
1675000499.40509,0,0,0,0
1675000500.4075248,0,0,0,0
1675000501.409726,0,0,0,0
1675000502.4118598,0,0,0,0
1675000503.4139652,0,0,0,0
1675000504.416452,0,0,0,0
1675000505.4185674,0,0,0,0
1675000506.4208193,0,0,0,0
1675000507.423249,0,0,0,0
1675000508.4252675,0,0,0,0
1675000509.4272351,0,0,0,0
1675000510.4292014,0,0,0,0
1675000511.4312122,0,0,0,0
1675000512.4334044,0,0,0,4
1675000513.4356513,0,0,0,0
1675000514.4379563,0,0,0,0
1675000515.44013,0,0,0,0
1675000516.442172,0,0,0,0
1675000517.4457426,0,8,6,4
1675000518.4483564,0,85,67,57
1675000519.4514854,0,89,87,73
1675000520.455774,0,1,0,1
1675000521.4672194,0,58,53,49
1675000522.475762,0,85,81,90
1675000523.4846272,0,97,89,82
1675000524.4862428,0,117,117,75
1675000525.488269,0,36,29,29
1675000526.490176,0,141,146,131
1675000527.4919002,0,111,113,100
76,75,96,85
1675000528.498102,0,127,124,69
1675000529.4997602,0,134,132,111
1675000530.5086157,0,83,76,63
1675000531.5524354,0,107,113,96
1675000532.5670261,0,157,160,152
1675000533.570863,0,141,141,141
1675000534.5765035,0,132,150,153
1675000535.5842955,0,138,152,161
1675000536.5879292,0,131,144,149
1675000537.590842,0,131,153,157
1675000538.5927567,0,22,33,27
1675000539.594757,0,0,0,0
1675000540.5970228,0,0,0,0
1675000541.599237,0,0,0,0
1675000542.6012933,0,0,0,0
1675000543.6033673,0,0,0,0
1675000544.6057372,0,2,1,0
1675000545.6129005,0,0,0,0
1675000546.6160755,0,0,0,0
1675000547.6183405,0,0,0,0
1675000548.6206386,0,0,0,0
1675000549.6228662,0,0,0,0
1675000550.630591,0,0,0,0
1675000551.644435,0,0,0,0
1675000552.652745,0,0,0,0
1675000553.6551073,0,0,0,0
1675000554.6580353,0,0,0,0
